Objective,ID,Classification,Bucket,Core Tags,Supplementary Tags,Restrictions,Selection Count,Selection Frequency
"Sleep at four inns in the Western Sea (Contigo, Sh. Village, Loho, Prox)",98,10,D,"Western Sea, Whirlwind, Magma Ball, Exploration",,"226, 230",1731,17.3%
Use teleport in 3 different locations,156,19,E,"Teleport, Exploration","Western Sea, Sand, Turtle, Mind Read, Magma Ball",,1671,16.7%
Make it snow (Douse in a cold place),110,13,D,Douse,,,1654,16.5%
Say Hi to two Superbosses,157,19,E,"Teleport, Exploration","Grind, Lift, Sand, Burst, Mind Read, Turtle",,1592,15.9%
Bonk into a djinn on an ice puzzle,204,13,D,"Djinn_l, Parch","Magma Ball, Western Sea, Parch, Fun",114,1561,15.6%
Get behind bars (Alhafran Jail),135,16,D,"Briggs, Burst","Osenia, Alhafra, Pound, Lash","7, 132, 134",1552,15.5%
Make Prox bright,137,16,D,"Western Sea, Magma Ball, Reveal","Prox, Northern Reaches",,1495,14.9%
Use any Key,130,16,D,"Collect_s, RareItem, Reveal",,,1483,14.8%
Solve both Sand Raising puzzles in Ankohl,138,16,D,"Whirlwind, Sand","Puzzle, Ankohl, Angara","147, 224",1478,14.8%
Give the Shaman's Rod to Moapa,131,16,D,"Collect_s, Whirlwind, Western Sea","Shaman Village, Hesperia","125, 199, 202, 250, 257, 285",1476,14.8%
Frost 3 water puddles in Daila,115,13,D,Frost,"Daila, Indra",,1465,14.6%
Fall down three cliffs at least three times the height of Felix (without a screen transition).,274,20,E,"Douse, Whirlwind","Burst, Lift, Shaman's Rod",,1463,14.6%
Use Frost on an Aqua Jelly puddle,207,10,D,"Western Sea, Frost, Battle",,14,1448,14.5%
Walk through a wall of ice,281,14,D,Parch,"Reveal, Burst","119, 121, 146, 213",1436,14.4%
Traverse both sides of Trial Road,285,13,D,"Whirlwind, Shamans Rod, Western Sea",,"125, 131, 199, 202, 250",1433,14.3%
See the shimmer of a revealed hidden item,104,13,D,"Reveal, Collect_l","Garoh, Osenia",,1429,14.3%
Get pushed back by the face in Ankohl Ruins,224,16,D,"Sand, Whirlwind","Exploration, Angara, Ankohl","138, 147",1410,14.1%
Clear the dirt on all four arrows behind Gabomba Statue,111,13,D,Scoop,"Lash, Kibombo, Gondowan",,1408,14.1%
Enter Djinn Check room in Anemos Inner Sanctum,97,10,D,"Western Sea, Exploration, Teleport","Teleport, Reveal, Atteka","234, 235, 251",1401,14.0%
Go down three different hidden ladders,269,13,D,Scoop,Cyclone,,1401,14.0%
Complete the cracked tile light maze in Anemos Inner Sanctum,235,10,D,"Western Sea, Puzzle, Teleport",Atteka,"97, 234, 251",1396,14.0%
Climb the Lash rope in Kalt Island,208,10,D,"Western Sea, Lash, RopeClimb",Islands,,1394,13.9%
Force tiles or blocks to pop out of the ground,289,17,E,Pound,"Cyclone, Hover, Lash, Scoop","140, 165",1379,13.8%
Elevate someone to a twice upgraded Item Class,182,12,C,"Class, Djinn_c, Collect_s",ClassItem,40,1376,13.8%
"Complete a ""Mirror Puzzle"" in Anemos Inner Sanctum",234,10,D,"Western Sea, Puzzle, Teleport",Atteka,"97, 235, 251",1365,13.7%
Ride geysers in three different areas,272,16,D,"Scoop, Whirlwind","Pound, Burst",,1365,13.7%
Collect the Aqua Rock Tablet,133,16,D,"Collect_l, Douse","Frost, Parch, Apojii, Aqua Rock","116, 118, 229, 283",1355,13.6%
"Fill two walkable areas with different substances (two of water, sand, or magma)",273,18,E,"Whirlwind, Douse, Parch","Frost, Burst, Growth, Lash",,1327,13.3%
Be burrowed in sand while an enemy is burrowed in sand,225,16,D,"Sand, Pound","Burst, Yampi, fun, Osenia",196,1322,13.2%
Befriend 10 djinn that target enemies,185,21,C,Djinn_c,,186,1307,13.1%
Turn on all lights in Gaia Rock,129,16,D,"Whirlwind, Cyclone, Dancing Idol","Gaia Rock, Nihan",287,1307,13.1%
Get yeeted off of a wall by a stream of water,229,13,D,Douse,"Aqua Rock, Apojii","116, 118, 133",1305,13.1%
"Enter 4 caves in towns (Yallam, Izumo, Apojii, Mikas., Alhaf., Madra)",108,13,D,"Exploration, Reveal, Burst",,,1298,13.0%
Mind Read an adept,136,16,D,Mind Read,,,1288,12.9%
Use any psynergy to collect an item 4 different towns,107,13,D,"Collect_l, Cyclone",,"100, 109",1283,12.8%
Collect the Gondowan Settlement Chest,101,10,D,"Western Sea, Cyclone, Collect_l",Gondowan,30,1281,12.8%
"Befriend Mist, Serac, or Fury",92,11,C,Djinn_s,,"78, 93, 94",1278,12.8%
Collect an item hidden by weeds from two different places,109,13,D,"Cyclone, Collect_l",,"100, 107",1277,12.8%
Befriend 10 djinn that target your party,186,21,C,Djinn_c,,185,1267,12.7%
Talk to (not Mind Read) each Animal in the trading sequence,288,15,D,"Frost, Sand",,"231, 149",1249,12.5%
Blow up three walls with Burst,270,20,E,Burst,,"106, 119, 121, 213",1244,12.4%
